Observer point at r[0]=9.619666e-02 AU
   time           vr          rho         temp           Bp          prs
0.000000e+00 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.000000e-07 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
2.100000e-07 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
3.310000e-07 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
4.641000e-07 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
6.105100e-07 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
7.715610e-07 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
9.487171e-07 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.143589e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.357948e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.593742e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.853117e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
2.138428e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
2.452271e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
2.797498e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
3.177248e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
3.594973e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
4.054470e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
4.559917e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
5.115909e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
5.727500e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
6.400250e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
7.140275e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
7.954302e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
8.849733e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
9.789083e-06 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.072811e-05 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.166688e-05 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.260547e-05 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
